

Initialized RTC: 0x01Dev config complete
SCAN START
RSSI: -58 [da:ee:aa:ff:01:5a]

RSSI: -59 [da:ee:aa:ff:01:5a]

RSSI: -81 [da:ee:aa:ff:11:9c]

RSSI: -58 [da:ee:aa:ff:01:5a]

RSSI: -77 [da:ee:aa:ff:04:bb]

RSSI: -82 [da:ee:aa:ff:11:9c]

RSSI: -77 [da:ee:aa:ff:04:cb]

RSSI: -56 [da:ee:aa:ff:01:7a]

RSSI: -77 [da:ee:aa:ff:04:cb]

RSSI: -56 [da:ee:aa:ff:01:7a]

RSSI: -78 [da:ee:aa:ff:04:cb]

RSSI: -82 [da:ee:aa:ff:11:cc]

RSSI: -78 [da:ee:aa:ff:04:cb]

RSSI: -83 [da:ee:aa:ff:11:cc]

RSSI: -56 [da:ee:aa:ff:01:9a]

RSSI: -59 [da:ee:aa:ff:01:ba]

RSSI: -59 [da:ee:aa:ff:01:ba]

RSSI: -59 [da:ee:aa:ff:01:ba]

RSSI: -78 [da:ee:aa:ff:04:fb]

RSSI: -59 [da:ee:aa:ff:01:ba]

RSSI: -78 [da:ee:aa:ff:05:1b]

RSSI: -46 [da:ee:aa:ff:01:ea]

RSSI: -55 [da:ee:aa:ff:01:fa]

RSSI: -82 [da:ee:aa:ff:12:4c]

RSSI: -55 [da:ee:aa:ff:01:fa]

RSSI: -77 [da:ee:aa:ff:05:4b]

RSSI: -77 [da:ee:aa:ff:05:4b]

RSSI: -59 [da:ee:aa:ff:02:2a]

RSSI: -82 [da:ee:aa:ff:12:7c]

RSSI: -83 [da:ee:aa:ff:12:7c]

RSSI: -83 [da:ee:aa:ff:12:7c]

RSSI: -59 [da:ee:aa:ff:02:2a]

RSSI: -83 [da:ee:aa:ff:12:9c]

RSSI: -59 [da:ee:aa:ff:02:3a]

RSSI: -59 [da:ee:aa:ff:02:5a]

RSSI: -83 [da:ee:aa:ff:12:ac]

RSSI: -78 [da:ee:aa:ff:05:ab]

RSSI: -59 [da:ee:aa:ff:02:5a]

RSSI: -83 [da:ee:aa:ff:12:ac]

RSSI: -78 [da:ee:aa:ff:05:ab]

RSSI: -59 [da:ee:aa:ff:02:5a]

RSSI: -55 [da:ee:aa:ff:02:6a]

RSSI: -82 [da:ee:aa:ff:12:cc]

RSSI: -55 [da:ee:aa:ff:02:6a]

RSSI: -82 [da:ee:aa:ff:12:cc]

RSSI: -55 [da:ee:aa:ff:02:6a]

RSSI: -82 [da:ee:aa:ff:12:cc]

RSSI: -55 [da:ee:aa:ff:02:6a]

RSSI: -82 [da:ee:aa:ff:12:cc]

RSSI: -76 [da:ee:aa:ff:05:cb]

RSSI: -59 [da:ee:aa:ff:02:8a]

RSSI: -59 [da:ee:aa:ff:02:8a]

RSSI: -79 [da:ee:aa:ff:06:0b]

RSSI: -84 [da:ee:aa:ff:13:0c]

RSSI: -59 [da:ee:aa:ff:02:8a]

RSSI: -79 [da:ee:aa:ff:06:0b]

RSSI: -59 [da:ee:aa:ff:02:8a]

RSSI: -59 [da:ee:aa:ff:02:8a]

RSSI: -83 [da:ee:aa:ff:13:1c]

RSSI: -84 [da:ee:aa:ff:13:1c]

RSSI: -78 [da:ee:aa:ff:06:1b]

RSSI: -83 [da:ee:aa:ff:13:1c]

RSSI: -82 [da:ee:aa:ff:13:4c]

RSSI: -82 [da:ee:aa:ff:13:4c]

RSSI: -76 [da:ee:aa:ff:06:4b]

RSSI: -81 [da:ee:aa:ff:13:4c]

RSSI: -76 [da:ee:aa:ff:06:4b]

