
Initialized RTC: 0x01Dev config complete
SCAN START
RSSI: -85 [da:00:0b:9d:0f:2c]
RSSI: -83 [da:00:0b:ac:0f:5c]
RSSI: -85 [da:00:0b:c8:0f:ac]
RSSI: -84 [da:00:0b:c8:0f:ac]
RSSI: -84 [da:00:0b:d7:0f:dc]
RSSI: -83 [da:00:0b:e9:10:0c]
RSSI: -81 [da:00:0b:fa:10:3c]
RSSI: -81 [da:00:0c:09:10:6c]
RSSI: -81 [da:00:0c:16:10:9c]
RSSI: -80 [da:00:0c:16:10:9c]
RSSI: -81 [da:00:0c:25:10:bc]
RSSI: -80 [da:00:0c:35:10:ec]
RSSI: -78 [da:00:0c:35:10:ec]
RSSI: -78 [da:00:0c:41:11:1c]
RSSI: -77 [da:00:0c:41:11:1c]
RSSI: -79 [da:00:0c:51:11:4c]
RSSI: -79 [da:00:0c:51:11:4c]
RSSI: -80 [da:00:0c:51:11:4c]
RSSI: -78 [da:00:0c:60:11:6c]
RSSI: -80 [da:00:0c:60:11:6c]
RSSI: -84 [da:00:0c:7c:11:cc]
RSSI: -84 [da:00:0c:7c:11:cc]
RSSI: -79 [da:00:0c:7c:11:cc]
RSSI: -83 [da:00:0c:8c:11:ec]
RSSI: -78 [da:00:0c:98:12:1c]
RSSI: -78 [da:00:0c:a8:12:4c]
RSSI: -81 [da:00:0c:b7:12:6c]
RSSI: -79 [da:00:0c:b7:12:6c]
RSSI: -81 [da:00:0c:c4:12:9c]
RSSI: -81 [da:00:0c:c4:12:9c]
RSSI: -77 [da:00:0c:d4:12:cc]
RSSI: -76 [da:00:0c:e3:12:fc]
RSSI: -77 [da:00:0c:f0:13:1c]
RSSI: -77 [da:00:0c:f0:13:1c]
RSSI: -77 [da:00:0c:f0:13:1c]
RSSI: -75 [da:00:0c:ff:13:4c]
RSSI: -76 [da:00:0d:0f:13:7c]
RSSI: -75 [da:00:0d:1b:13:9c]
RSSI: -73 [da:00:0d:2b:13:cc]
RSSI: -75 [da:00:0d:2b:13:cc]
RSSI: -73 [da:00:0d:3a:13:fc]
RSSI: -75 [da:00:0d:47:14:1c]
RSSI: -75 [da:00:0d:57:14:4c]
RSSI: -76 [da:00:0d:57:14:4c]
RSSI: -75 [da:00:0d:66:14:7c]
RSSI: -74 [da:00:0d:66:14:7c]
RSSI: -73 [da:00:0d:73:14:ac]
RSSI: -74 [da:00:0d:82:14:cc]
RSSI: -73 [da:00:0d:82:14:cc]
RSSI: -71 [da:00:0d:92:14:fc]
RSSI: -71 [da:00:0d:92:14:fc]
RSSI: -72 [da:00:0d:9e:15:2c]
RSSI: -73 [da:00:0d:ae:15:5c]
RSSI: -73 [da:00:0d:ae:15:5c]
RSSI: -81 [da:00:0d:bd:15:7c]
RSSI: -73 [da:00:0d:ca:15:ac]
RSSI: -79 [da:00:0d:ca:15:ac]
RSSI: -73 [da:00:0d:da:15:dc]
RSSI: -74 [da:00:0d:e9:15:fc]
RSSI: -75 [da:00:0d:f6:16:2c]
RSSI: -79 [da:00:0e:15:00:0c]
RSSI: -80 [da:00:0e:15:00:0c]
RSSI: -80 [da:00:0e:21:00:2c]
RSSI: -81 [da:00:0e:21:00:2c]
RSSI: -81 [da:00:0e:31:00:5c]
RSSI: -85 [da:00:0e:89:01:6c]
RSSI: -88 [da:00:0e:98:01:8c]
RSSI: -84 [da:00:0e:98:01:8c]
RSSI: -81 [da:00:0e:b4:01:ec]
RSSI: -85 [da:00:0e:c4:02:1c]
RSSI: -84 [da:00:0e:d1:02:3c]
RSSI: -83 [da:00:0e:e0:02:6c]
RSSI: -83 [da:00:0e:e0:02:6c]
RSSI: -82 [da:00:0e:f0:02:9c]
RSSI: -81 [da:00:0e:fc:02:bc]
RSSI: -80 [da:00:0f:0c:02:ec]
RSSI: -80 [da:00:0f:0c:02:ec]
RSSI: -85 [da:00:0f:1c:03:1c]
RSSI: -74 [da:00:0f:28:03:3c]
RSSI: -83 [da:00:0f:28:03:3c]
RSSI: -77 [da:00:0f:38:03:6c]
RSSI: -71 [da:00:0f:38:03:6c]
RSSI: -71 [da:00:0f:38:03:6c]
RSSI: -82 [da:00:0f:47:03:9c]
RSSI: -78 [da:00:0f:47:03:9c]
RSSI: -83 [da:00:0f:54:03:bc]
RSSI: -81 [da:00:0f:54:03:bc]
RSSI: -76 [da:00:0f:64:03:ec]
RSSI: -78 [da:00:0f:64:03:ec]
RSSI: -78 [da:00:0f:64:03:ec]
RSSI: -83 [da:00:0f:73:04:1c]
RSSI: -76 [da:00:0f:73:04:1c]
RSSI: -75 [da:00:0f:80:04:3c]
RSSI: -73 [da:00:0f:90:04:6c]
RSSI: -69 [da:00:0f:90:04:6c]
RSSI: -63 [da:00:0f:9f:04:9c]
RSSI: -71 [da:00:0f:9f:04:9c]
RSSI: -60 [da:00:0f:ac:04:cc]
RSSI: -62 [da:00:0f:bc:04:fc]
RSSI: -62 [da:00:0f:bc:04:fc]
RSSI: -67 [da:00:0f:cb:05:2c]
RSSI: -61 [da:00:0f:cb:05:2c]
RSSI: -66 [da:00:0f:d8:05:4c]
RSSI: -58 [da:00:0f:e7:05:7c]
RSSI: -58 [da:00:0f:e7:05:7c]
RSSI: -60 [da:00:0f:f7:05:ac]
RSSI: -65 [da:00:10:04:05:cc]
RSSI: -60 [da:00:10:04:05:cc]
RSSI: -64 [da:00:10:13:05:fc]
RSSI: -64 [da:00:10:13:05:fc]
RSSI: -59 [da:00:10:23:06:2c]
RSSI: -61 [da:00:10:30:06:4c]
RSSI: -61 [da:00:10:30:06:4c]
RSSI: -62 [da:00:10:3f:06:7c]
RSSI: -62 [da:00:10:3f:06:7c]
RSSI: -67 [da:00:10:4f:06:ac]
RSSI: -66 [da:00:10:5c:06:cc]
RSSI: -69 [da:00:10:5c:06:cc]
RSSI: -70 [da:00:10:6b:06:fc]
RSSI: -70 [da:00:10:6b:06:fc]
RSSI: -72 [da:00:10:7b:07:2c]
RSSI: -70 [da:00:10:7b:07:2c]
RSSI: -77 [da:00:10:87:07:5c]
RSSI: -79 [da:00:10:87:07:5c]
RSSI: -82 [da:00:10:97:07:8c]
RSSI: -79 [da:00:10:a7:07:bc]
RSSI: -74 [da:00:10:b3:07:dc]
RSSI: -76 [da:00:10:c3:08:0c]
RSSI: -74 [da:00:10:c3:08:0c]
RSSI: -73 [da:00:10:d3:08:3c]
RSSI: -74 [da:00:10:d3:08:3c]
RSSI: -76 [da:00:10:df:08:5c]
RSSI: -77 [da:00:10:ef:08:8c]
RSSI: -83 [da:00:10:ef:08:8c]
RSSI: -79 [da:00:10:ff:08:bc]
RSSI: -75 [da:00:10:ff:08:bc]
RSSI: -78 [da:00:11:0b:08:ec]
RSSI: -77 [da:00:11:1b:09:1c]
RSSI: -77 [da:00:11:1b:09:1c]
RSSI: -73 [da:00:11:2b:09:3c]
RSSI: -80 [da:00:11:37:09:6c]
RSSI: -78 [da:00:11:37:09:6c]
RSSI: -82 [da:00:11:47:09:9c]
RSSI: -82 [da:00:11:47:09:9c]
RSSI: -74 [da:00:11:57:09:cc]
RSSI: -80 [da:00:11:64:09:ec]
RSSI: -72 [da:00:11:64:09:ec]
RSSI: -79 [da:00:11:73:0a:1c]
RSSI: -76 [da:00:11:83:0a:4c]
RSSI: -77 [da:00:11:83:0a:4c]
RSSI: -73 [da:00:11:90:0a:6c]
RSSI: -78 [da:00:11:90:0a:6c]
RSSI: -72 [da:00:11:9f:0a:9c]
RSSI: -78 [da:00:11:af:0a:cc]
RSSI: -77 [da:00:11:af:0a:cc]
RSSI: -77 [da:00:11:bc:0a:ec]
RSSI: -75 [da:00:11:bc:0a:ec]
RSSI: -76 [da:00:11:cb:0b:1c]
RSSI: -73 [da:00:11:db:0b:4c]
RSSI: -73 [da:00:11:db:0b:4c]
RSSI: -77 [da:00:11:e8:0b:7c]
RSSI: -80 [da:00:11:f8:0b:ac]
RSSI: -76 [da:00:11:f8:0b:ac]
RSSI: -78 [da:00:12:07:0b:dc]
RSSI: -72 [da:00:12:14:0b:fc]
RSSI: -72 [da:00:12:14:0b:fc]
RSSI: -74 [da:00:12:24:0c:2c]
RSSI: -75 [da:00:12:24:0c:2c]
RSSI: -76 [da:00:12:33:0c:5c]
RSSI: -76 [da:00:12:33:0c:5c]
RSSI: -81 [da:00:12:40:0c:7c]
RSSI: -82 [da:00:12:40:0c:7c]
RSSI: -80 [da:00:12:40:0c:7c]
RSSI: -75 [da:00:12:50:0c:ac]
RSSI: -79 [da:00:12:5f:0c:dc]
RSSI: -74 [da:00:12:5f:0c:dc]
RSSI: -76 [da:00:12:6c:0c:fc]
RSSI: -84 [da:00:12:7c:0d:2c]
RSSI: -78 [da:00:12:7c:0d:2c]
